#Gene_name	pLi	pRec	pNull	Gene_full_name	Function_description	Disease_description	Tissue_specificity(Uniprot)	Expression(egenetics)	Expression(GNF/Atlas)	P(HI)	P(rec)	RVIS	RVIS_percentile	GDI	GDI-Phred
RTL1	0.00816648413128806	0.98894781995481	0.0028856959139022	retrotransposon-like 1	FUNCTION: Plays an essential role in capillaries endothelial cells for the maintenance of feto-maternal interface and for development of the placenta. {ECO:0000250}.; 	.	.	.	.	0.22864	0.13929	0.334405942	73.64944562	3311.20848	10.98757
RTN1	0.959599485657203	0.0403819736353317	1.85407074649683e-05	reticulon 1	FUNCTION: May be involved in neuroendocrine secretion or in membrane trafficking in neuroendocrine cells.; 	.	TISSUE SPECIFICITY: Expressed in neural and neuroendocrine tissues and cell cultures derived therefrom. Expression of isoform RTN1-C is strongly correlated with neuronal differentiation. {ECO:0000269|PubMed:9560466}.; 	ovary;sympathetic chain;parathyroid;fovea centralis;choroid;skin;retina;uterus;optic nerve;whole body;frontal lobe;cochlea;pituitary gland;testis;brain;gall bladder;amygdala;unclassifiable (Anatomical System);lymph node;heart;lacrimal gland;cerebellum cortex;islets of Langerhans;hypothalamus;lens;pancreas;lung;placenta;macula lutea;hippocampus;liver;spleen;mammary gland;cerebellum;	whole brain;amygdala;occipital lobe;medulla oblongata;thalamus;cerebellum peduncles;hypothalamus;temporal lobe;spinal cord;pons;caudate nucleus;subthalamic nucleus;fetal brain;prefrontal cortex;globus pallidus;parietal lobe;cingulate cortex;cerebellum;	0.50683	0.11839	0.134171522	63.57041755	571.10507	4.84873
RTN2	0.636179982447555	0.363808153026566	1.18645258788542e-05	reticulon 2	.	.	TISSUE SPECIFICITY: Isoform RTN2-C is highly expressed in skeletal muscle. {ECO:0000269|PubMed:9693037}.; 	lymphoreticular;colon;parathyroid;choroid;fovea centralis;skin;retina;uterus;prostate;whole body;optic nerve;frontal lobe;bone;testis;brain;unclassifiable (Anatomical System);lens;skeletal muscle;breast;pancreas;lung;placenta;visual apparatus;macula lutea;kidney;mammary gland;stomach;	amygdala;whole brain;medulla oblongata;occipital lobe;temporal lobe;prefrontal cortex;caudate nucleus;parietal lobe;cingulate cortex;skeletal muscle;	0.58971	.	-0.200157416	39.11299835	92.63069	2.06891
RTN3	0.0400228226482246	0.958627886917488	0.0013492904342877	reticulon 3	FUNCTION: May be involved in membrane trafficking in the early secretory pathway. Inhibits BACE1 activity and amyloid precursor protein processing. May induce caspase-8 cascade and apoptosis. May favor BCL2 translocation to the mitochondria upon endoplasmic reticulum stress. In case of enteroviruses infection, RTN3 may be involved in the viral replication or pathogenesis. {ECO:0000269|PubMed:15286784, ECO:0000269|PubMed:16054885, ECO:0000269|PubMed:17031492, ECO:0000269|PubMed:17191123}.; 	.	TISSUE SPECIFICITY: Isoform 3 is widely expressed, with highest levels in brain, where it is enriched in neuronal cell bodies from gray matter (at protein level). Three times more abundant in macula than in peripheral retina. Isoform 1 is expressed at high levels in brain and at low levels in skeletal muscle. Isoform 2 is only found in melanoma. {ECO:0000269|PubMed:10331947, ECO:0000269|PubMed:12811824, ECO:0000269|PubMed:14986927, ECO:0000269|PubMed:15286784, ECO:0000269|PubMed:15946766}.; 	smooth muscle;ovary;sympathetic chain;skin;retina;bone marrow;prostate;optic nerve;frontal lobe;germinal center;bladder;brain;amygdala;heart;tongue;pineal body;adrenal cortex;pharynx;blood;lens;skeletal muscle;breast;macula lutea;visual apparatus;liver;cervix;spleen;mammary gland;salivary gland;intestine;colon;parathyroid;fovea centralis;choroid;vein;uterus;cerebral cortex;larynx;bone;pituitary gland;testis;dura mater;spinal ganglion;unclassifiable (Anatomical System);meninges;lymph node;lacrimal gland;islets of Langerhans;hypothalamus;muscle;bile duct;pancreas;lung;pia mater;mesenchyma;nasopharynx;placenta;hippocampus;duodenum;head and neck;kidney;stomach;cerebellum;	amygdala;whole brain;thalamus;occipital lobe;medulla oblongata;cerebellum peduncles;hypothalamus;spinal cord;temporal lobe;pons;caudate nucleus;subthalamic nucleus;fetal brain;prefrontal cortex;globus pallidus;cingulate cortex;parietal lobe;cerebellum;	0.36858	0.09681	-0.837696902	11.45317292	679.02923	5.21062
RTN3P1	.	.	.	reticulon 3 pseudogene 1	.	.	.	.	.	.	.	.	.	.	.
RTN4	0.0108353564169536	0.987249940600313	0.00191470298273314	reticulon 4	FUNCTION: Developmental neurite growth regulatory factor with a role as a negative regulator of axon-axon adhesion and growth, and as a facilitator of neurite branching. Regulates neurite fasciculation, branching and extension in the developing nervous system. Involved in down-regulation of growth, stabilization of wiring and restriction of plasticity in the adult CNS. Regulates the radial migration of cortical neurons via an RTN4R-LINGO1 containing receptor complex (By similarity). Isoform 2 reduces the anti-apoptotic activity of Bcl-xl and Bcl-2. This is likely consecutive to their change in subcellular location, from the mitochondria to the endoplasmic reticulum, after binding and sequestration. Isoform 2 and isoform 3 inhibit BACE1 activity and amyloid precursor protein processing. {ECO:0000250, ECO:0000269|PubMed:10667797, ECO:0000269|PubMed:11201742, ECO:0000269|PubMed:16965550}.; 	.	TISSUE SPECIFICITY: Isoform 1 is specifically expressed in brain and testis and weakly in heart and skeletal muscle. Isoform 2 is widely expressed except for the liver. Isoform 3 is expressed in brain, skeletal muscle and adipocytes. Isoform 4 is testis- specific.; 	ovary;colon;parathyroid;fovea centralis;choroid;skin;bone marrow;uterus;prostate;whole body;ganglion;frontal lobe;cochlea;endometrium;larynx;bone;testis;germinal center;brain;pineal gland;unclassifiable (Anatomical System);lymph node;cartilage;heart;islets of Langerhans;hypothalamus;blood;lens;skeletal muscle;breast;bile duct;pancreas;lung;trabecular meshwork;placenta;macula lutea;visual apparatus;alveolus;hypopharynx;liver;spleen;head and neck;cervix;kidney;aorta;stomach;peripheral nerve;	amygdala;whole brain;medulla oblongata;occipital lobe;thalamus;adipose tissue;hypothalamus;spinal cord;temporal lobe;pons;caudate nucleus;subthalamic nucleus;prefrontal cortex;globus pallidus;cingulate cortex;parietal lobe;	0.40708	0.23501	1.850110669	97.13375796	1450.14696	7.10628
RTN4IP1	3.75201094361177e-06	0.813550445602158	0.186445802386898	reticulon 4 interacting protein 1	FUNCTION: Appears to be a potent inhibitor of regeneration following spinal cord injury.; 	.	TISSUE SPECIFICITY: Widely expressed in mitochondria-enriched tissues. Found in heart, muscle, kidney, liver, brain and placenta. {ECO:0000269|PubMed:12067236}.; 	.	.	0.05981	0.09264	-0.490397599	22.50530786	43.55625	1.25605
RTN4R	0.526443417823064	0.457338899987706	0.0162176821892297	reticulon 4 receptor	FUNCTION: Receptor for RTN4, OMG and MAG. Signaling mediates activation of Rho and downstream reorganization of the actin cytoskeleton. Mediates axonal growth inhibition and may play a role in regulating axonal regeneration and plasticity in the adult central nervous system. Acts in conjunction with RTN4 and LINGO1 in regulating neuronal precursor cell motility during cortical development. {ECO:0000250|UniProtKB:Q99PI8, ECO:0000269|PubMed:12037567, ECO:0000269|PubMed:14966521}.; 	.	TISSUE SPECIFICITY: Widespread in the brain but highest levels in the gray matter. Low levels in heart and kidney not expressed in oligodendrocytes (white matter).; 	unclassifiable (Anatomical System);lymph node;ovary;colon;parathyroid;fovea centralis;choroid;lens;retina;uterus;optic nerve;whole body;lung;placenta;thyroid;macula lutea;visual apparatus;testis;cervix;kidney;brain;stomach;	.	0.23327	0.21581	-1.089312628	7.047652748	.	.
RTN4RL1	0.787530525426807	0.206025151258865	0.00644432331432755	reticulon 4 receptor-like 1	FUNCTION: May play a role in regulating axonal regeneration and plasticity in the adult central nervous system. {ECO:0000303|PubMed:14664809}.; 	.	TISSUE SPECIFICITY: Predominantly expressed in brain. Expressed at lower levels in kidney, lung, mammary gland, placenta, salivary gland, skeletal muscle and spleen. {ECO:0000269|PubMed:12694398, ECO:0000269|PubMed:14664809}.; 	brain;	superior cervical ganglion;ciliary ganglion;atrioventricular node;trigeminal ganglion;skeletal muscle;cerebellum;	0.54411	0.11622	0.398725314	76.35645199	152.13717	2.69763
RTN4RL2	0.975814588290454	0.024159815985314	2.55957242323499e-05	reticulon 4 receptor-like 2	FUNCTION: May play a role in regulating axonal regeneration and plasticity in the adult central nervous system. {ECO:0000303|PubMed:14664809}.; 	.	TISSUE SPECIFICITY: Highly expressed in brain and liver. Expressed at lower levels in kidney, mammary gland, placenta, skeletal muscle, spleen and thyroid. {ECO:0000269|PubMed:12694398, ECO:0000269|PubMed:14664809}.; 	unclassifiable (Anatomical System);frontal lobe;ovary;bone;placenta;hippocampus;colon;kidney;brain;	superior cervical ganglion;	0.28156	0.11579	.	.	40.58676	1.18984
RTP1	0.56382972565799	0.423951854337294	0.0122184200047157	receptor (chemosensory) transporter protein 1	FUNCTION: Specifically promotes functional cell surface expression of olfactory receptors, but not of other GPCRs. {ECO:0000250}.; 	.	TISSUE SPECIFICITY: Expressed in testis. {ECO:0000269|PubMed:16720576}.; 	lung;hypothalamus;testis;brain;	dorsal root ganglion;superior cervical ganglion;subthalamic nucleus;uterus corpus;temporal lobe;ciliary ganglion;atrioventricular node;pons;trigeminal ganglion;skeletal muscle;	0.79035	0.11684	0.064394823	58.84642604	2341.27335	8.96348
RTP2	0.00338105493146928	0.612292667804584	0.384326277263946	receptor (chemosensory) transporter protein 2	FUNCTION: Specifically promotes functional cell surface expression of olfactory receptors, but not of other GPCRs. {ECO:0000250}.; 	.	TISSUE SPECIFICITY: Expressed in circumvallate papillae and testis. {ECO:0000269|PubMed:16720576}.; 	unclassifiable (Anatomical System);salivary gland;testis;	.	0.18955	0.10985	0.238945317	69.20853975	3613.00534	11.63896
RTP3	0.181516461400941	0.765413316390433	0.0530702222086256	receptor (chemosensory) transporter protein 3	FUNCTION: Promotes functional cell surface expression of the bitter taste receptors TAS2R16 and TAS2R43. {ECO:0000269|PubMed:16720576}.; 	.	TISSUE SPECIFICITY: Expressed predominantly in adult liver (PubMed:11896456, PubMed:17693185). Expressed in testis (PubMed:16720576, PubMed:17693185). Also expressed in kidney, lung and fetal liver (PubMed:17693185). Low levels in heart, thyroid, adrenal gland, pancreas, ovary, prostate, skin, plasma leukocytes, bone marrow and fetal brain (PubMed:17693185). Not detected in brain, spleen, colon, small intestine, skeletal muscle, stomach, placenta, salivary gland and uterus (PubMed:17693185). {ECO:0000269|PubMed:11896456, ECO:0000269|PubMed:16720576, ECO:0000269|PubMed:17693185}.; 	unclassifiable (Anatomical System);	dorsal root ganglion;superior cervical ganglion;liver;	0.04231	0.07119	-0.029247611	51.40363293	6	0.22513
RTP4	0.0108456456084385	0.835465726928449	0.153688627463112	receptor (chemosensory) transporter protein 4	FUNCTION: Probable chaperone protein which facilitates trafficking and functional cell surface expression of some G-protein coupled receptors (GPCRs). Promotes functional expression of the bitter taste receptor TAS2R16 (PubMed:16720576). Also promotes functional expression of the opioid receptor heterodimer OPRD1-OPRM1 (By similarity). {ECO:0000250|UniProtKB:Q9ER80, ECO:0000269|PubMed:16720576}.; 	.	TISSUE SPECIFICITY: Expressed in circumvallate papillae and testis. {ECO:0000269|PubMed:16720576}.; 	unclassifiable (Anatomical System);lymph node;cartilage;spinal cord;colon;skin;breast;uterus;bile duct;prostate;pancreas;lung;endometrium;larynx;nasopharynx;bone;liver;testis;head and neck;spleen;kidney;bladder;	.	0.05072	0.07309	1.350418743	94.35008257	2744.58435	9.87696
RTP5	.	.	.	receptor (chemosensory) transporter protein 5 (putative)	.	.	.	.	.	.	.	0.736704836	86.32932295	.	.
RTTN	2.40394270810394e-13	0.999999994034628	5.96513180225979e-09	rotatin	FUNCTION: Involved in the genetic cascade that governs left-right specification. Plays a role in the maintenance of a normal ciliary structure. Required for correct asymmetric expression of NODAL, LEFTY and PITX2. {ECO:0000269|PubMed:22939636}.; 	DISEASE: Polymicrogyria with seizures (PMGYS) [MIM:614833]: A disease characterized by many irregular small gyri in the brain surface and fusion of the molecular layer over multiple small gyri, which gives a festooned appearance to the cortical surface, without abnormal neuronal migration. Polymicrogyria is a heterogeneous disorder, considered to be the result of postmigratory abnormal cortical organization. PMGYS patients have moderate to severe mental retardation, poor speech, dysarthria and seizures. {ECO:0000269|PubMed:22939636}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	.	ovary;colon;parathyroid;fovea centralis;choroid;skin;retina;uterus;prostate;optic nerve;whole body;thyroid;bone;testis;germinal center;brain;unclassifiable (Anatomical System);heart;cartilage;lens;skeletal muscle;breast;pancreas;lung;placenta;macula lutea;visual apparatus;liver;spleen;kidney;	dorsal root ganglion;superior cervical ganglion;testis - interstitial;ciliary ganglion;atrioventricular node;trigeminal ganglion;	0.25498	0.10307	0.18719002	66.27742392	829.75241	5.64516
RUBCN	.	.	.	RUN and cysteine rich domain containing beclin 1 interacting protein	FUNCTION: Inhibits PIK3C3 activity; under basal conditions negatively regulates PI3K complex II (PI3KC3-C2) function in autophagy. Negatively regulates endosome maturation and degradative endocytic trafficking and impairs autophagosome maturation process. Can sequester UVRAG from association with a class C Vps complex (possibly the HOPS complex) and negatively regulates Rab7 activation (PubMed:20974968, PubMed:21062745). {ECO:0000269|PubMed:20974968, ECO:0000269|PubMed:21062745}.; 	DISEASE: Spinocerebellar ataxia, autosomal recessive, 15 (SCAR15) [MIM:615705]: Spinocerebellar ataxia defines a clinically and genetically heterogeneous group of cerebellar disorders. Patients show progressive incoordination of gait and often poor coordination of hands, speech and eye movements, due to degeneration of the cerebellum with variable involvement of the brainstem and spinal cord. SCAR15 patients manifest cerebellar ataxia in early childhood and delayed motor development with delayed walking. Additional features include dysarthria, upper limb involvement, abnormal eye movements, and hyporeflexia. {ECO:0000269|PubMed:20826435}. Note=The disease is caused by mutations affecting the gene represented in this entry.; 	.	.	.	0.18496	0.09999	0.431697208	77.32955886	.	.
RUFY1	0.0646702146609533	0.935303663176112	2.61221629343127e-05	RUN and FYVE domain containing 1	FUNCTION: Binds phospholipid vesicles containing phosphatidylinositol 3-phosphate and participates in early endosomal trafficking. {ECO:0000269|PubMed:14617813}.; 	.	TISSUE SPECIFICITY: Broadly expressed, with highest levels in lung, testis, kidney and brain. {ECO:0000269|PubMed:11877430}.; 	ovary;colon;parathyroid;skin;uterus;prostate;optic nerve;frontal lobe;cochlea;endometrium;larynx;bone;thyroid;testis;germinal center;brain;bladder;unclassifiable (Anatomical System);lymph node;cartilage;cerebellum cortex;islets of Langerhans;muscle;adrenal cortex;blood;skeletal muscle;breast;lung;placenta;visual apparatus;hippocampus;liver;hypopharynx;head and neck;cervix;kidney;mammary gland;stomach;thymus;	superior cervical ganglion;trigeminal ganglion;	0.24529	.	-0.488577883	22.64685067	95.63276	2.11203
RUFY2	0.416574096064703	0.583423085032644	2.81890265256113e-06	RUN and FYVE domain containing 2	.	.	TISSUE SPECIFICITY: Expressed in brain, lung and testis. {ECO:0000269|PubMed:11877430}.; 	ovary;salivary gland;intestine;colon;skin;retina;bone marrow;uterus;prostate;frontal lobe;larynx;bone;thyroid;testis;germinal center;brain;bladder;unclassifiable (Anatomical System);heart;islets of Langerhans;hypothalamus;pharynx;blood;skeletal muscle;breast;pancreas;lung;placenta;liver;head and neck;cervix;kidney;	dorsal root ganglion;superior cervical ganglion;ciliary ganglion;atrioventricular node;trigeminal ganglion;skeletal muscle;	0.13637	0.09918	-0.22584292	37.32012267	69.4068	1.72828
